post_id,post_title,post_name,post_status,post_date,post_modified,post_author,post_category,featured_image_url,content,cf_client_contact_name,cf_client_title,cf_client_company,cf_result_stat,seo_title,seo_meta_description
1042,Meridian Hotel Group Centralizes Carbon Reporting,meridian-hotel-group-carbon-reporting,publish,2021-03-11 09:22:00,2021-03-14 16:05:00,J. Alvarez,Hospitality,https://cdn.ordinantcarbon.com/case-studies/meridian-hotel-group.jpg,"<p>Meridian Hotel Group struggled with inconsistent reporting across its 40+ properties before adopting Ordinant Carbon Solutions.</p><p>Since implementation, the company has established a single reporting process across its entire portfolio.</p>[cta_button url=""/contact"" text=""Talk to us""]",Renata Suh,Director of Operations,Meridian Hotel Group,40+ properties standardized,,,
1043,Coastline Resorts Reduces Reporting Time,coastline-resorts-reporting-time,publish,2021-05-02 11:40:00,2021-05-02 11:40:00,J. Alvarez,Hospitality,https://cdn.ordinantcarbon.com/case-studies/coastline-resorts.jpg,"<p>Coastline Resorts was spending upward of three weeks per quarter compiling supplier documentation by hand.</p><p><span style=""color:#3d3d3d;"">With Ordinant Carbon Solutions, that process now takes under a week.</span></p>",Tomas Reyner,Facilities Director,Coastline Resorts,3 weeks to under 1 week,Coastline Resorts Case Study | Ordinant Carbon Solutions,Learn how Coastline Resorts cut reporting time by more than 70% with Ordinant Carbon Solutions.
1044,Birchwood Hospitality Partners,birchwood-hospitality-partners,publish,0000-00-00 00:00:00,2020-11-19 08:15:00,J. Alvarez,hospitality,,"<p>Birchwood Hospitality Partners needed a way to bring supplier evidence collection into one system across its properties.</p><p>[gallery ids=""204,205,206""]</p>",Birchwood Hospitality Partners,,,,,
1051,Aldergate Hotels Streamlines Supplier Evidence,aldergate-hotels-supplier-evidence,publish,2022-01-14 14:02:00,2022-01-20 09:30:00,M. Okonkwo,Hospitality,https://cdn.ordinantcarbon.com/case-studies/aldergate-hotels.jpg,"<p>Aldergate Hotels &amp; Suites needed a consistent way to collect supplier documentation across regional properties.</p><p>The team now processes evidence requests in a fraction of the time.</p>",Priya Deshmukh,VP of Sustainability,Aldergate Hotels & Suites,Evidence review time cut by half,,
1058,Fenwick Land and Development Case Study,fenwick-land-development,publish,2021-08-03 10:10:00,2021-08-03 10:10:00,M. Okonkwo,Property Development,https://cdn.ordinantcarbon.com/case-studies/fenwick-land.jpg,"<p>Fenwick Land &amp; Development manages carbon reporting across a dozen active construction sites at any given time.</p><p>Ordinant Carbon Solutions gave the sustainability team a single system to track supplier evidence across every site.</p>",Callum Fitzgerald,Sustainability Manager,Fenwick Land & Development,12 active sites unified,Fenwick Land & Development Case Study,
1059,Solmark Properties,solmark-properties-carbon-tracking,publish,2022-06-21 13:00:00,2022-06-25 09:45:00,M. Okonkwo,Property Development,https://cdn.ordinantcarbon.com/case-studies/solmark-properties.jpg,"<p>Solmark Properties was relying on a patchwork of spreadsheets across its development sites.</p><p><font face=""Arial"">Since switching to Ordinant Carbon Solutions, reporting has become far more consistent.</font></p>[button url=""/contact"" label=""Request a demo""]",Elise Fournier,Head of ESG,Solmark Properties,,,,
1067,Northbridge Development Group Improves Visibility,northbridge-development-visibility,publish,2021-02-18 09:00:00,2021-02-18 09:00:00,K. Whitfield,Property Development,,"<p>Northbridge Development Group needed better visibility into supplier evidence being submitted across active projects.</p><p>The sustainability team can now review and approve submissions from every site in one system.</p>",Desmond Marsh,Director of Sustainability,Northbridge Development Group,,Northbridge Development Group | Ordinant Carbon Solutions,Northbridge Development Group centralizes supplier evidence review with Ordinant Carbon Solutions.
1071,Aurelia Real Estate Partners,aurelia-real-estate-partners,draft,0000-00-00 00:00:00,2023-01-09 15:20:00,K. Whitfield,property development,https://cdn.ordinantcarbon.com/case-studies/aurelia-real-estate.jpg,"<p>Aurelia Real Estate Partners is piloting supplier evidence tracking across three active developments.</p>",Aurelia Real Estate Partners,,,,,
1084,Thornton and Vale Consulting Assigns Emissions Ownership,thornton-vale-emissions-ownership,publish,2021-09-27 10:30:00,2021-10-02 11:00:00,K. Whitfield,Professional Services,https://cdn.ordinantcarbon.com/case-studies/thornton-vale.jpg,"<p>Thornton &amp; Vale Consulting needed to assign emissions ownership across campuses while keeping central visibility into reporting.</p><p>Regional offices can now submit data directly without losing central approval control.</p>",Adaeze Nnamdi,Head of Sustainability,Thornton & Vale Consulting,Regional offices self-reporting,Thornton & Vale Consulting Case Study,Thornton & Vale Consulting assigns regional emissions ownership without losing central control.
1085,Meridian Advisory Partners,meridian-advisory-partners-case-study,publish,2022-03-15 08:45:00,2022-03-15 08:45:00,R. Castellano,Professional Services,https://cdn.ordinantcarbon.com/case-studies/meridian-advisory.jpg,"<p>Meridian Advisory Partners struggled to get consistent reporting from its regional offices.</p><p>[testimonial_cta client=""Meridian Advisory Partners""]</p>",Harriet Colby,Regional Sustainability Lead,Meridian Advisory Partners,,,
